category,top_keys
國際,"[('美國', 39), ('關稅', 35), ('汽車', 34), ('特朗普', 26), ('稅率', 20), ('對象', 18), ('政府', 17), ('國家', 16), ('全球', 13), ('貿易', 13)]"
政治,"[('台灣', 25), ('言論', 23), ('柯建銘', 13), ('汽車', 11), ('美國', 10), ('立委', 10), ('國家', 8), ('自由', 8), ('中國', 7), ('拐杖', 7)]"
社會地方,"[('警方', 11), ('黃子佼', 9), ('新北市', 8), ('車禍', 7), ('民眾', 7), ('坪林', 7), ('吳男', 7), ('男子', 6), ('騎士', 6), ('身體', 5)]"
財經,"[('台積電', 13), ('鴻海', 13), ('指數', 12), ('市場', 12), ('房價', 12), ('機會', 10), ('台股', 8), ('時間', 8), ('跌幅', 7), ('影印店', 7)]"
運動,"[('球員', 17), ('球衣', 17), ('球隊', 13), ('大聯盟', 12), ('台灣', 11), ('比賽', 11), ('名單', 10), ('春訓', 10), ('喬丹', 10), ('費柴德', 9)]"
健康,"[('食物', 33), ('水果', 26), ('食譜', 20), ('纖維', 19), ('酪梨', 18), ('醫師', 16), ('營養', 15), ('花椰菜', 15), ('血糖', 14), ('蛋白質', 14)]"
遊戲3C,"[('瓦雷莎', 30), ('圖像', 22), ('元素', 21), ('傷害', 21), ('圖片', 20), ('狀態', 20), ('玩家', 19), ('社群', 19), ('活動', 17), ('企業', 14)]"
全部,"[('美國', 56), ('汽車', 45), ('關稅', 43), ('台灣', 39), ('食物', 34), ('瓦雷莎', 30), ('特朗普', 26), ('水果', 26), ('活動', 25), ('狀態', 25)]"
